Date,Adj Close,Volume,IsDividend,DividendAmount,IsSplit,SplitRatio
2007-01-25,2.6,9.059736E8,False,0,False,0
2007-01-26,2.57,9.86874E8,False,0,False,0
2007-01-29,2.59,9.016644E8,False,0,False,0
2007-01-30,2.57,5.779704E8,False,0,False,0
2007-01-31,2.58,8.560692E8,False,0,False,0
2007-02-01,2.55,6.64342E8,False,0,False,0
2007-02-02,2.55,6.2153E8,False,0,False,0
2007-02-05,2.53,5.788524E8,False,0,False,0
2007-02-06,2.53,8.643936E8,False,0,False,0
2007-02-07,2.59,1.0668252E9,False,0,False,0
2007-02-08,2.59,6.790308E8,False,0,False,0
2007-02-09,2.51,8.605408E8,False,0,False,0
2007-02-12,2.55,7.240716E8,False,0,False,0
2007-02-13,2.55,5.80986E8,False,0,False,0
2007-02-14,2.57,5.079816E8,False,0,False,0
2007-02-15,2.56,3.636612E8,False,0,False,0
2007-02-16,2.55,3.99868E8,False,0,False,0
2007-02-20,2.59,6.177024E8,False,0,False,0
2007-02-21,2.68,1.1553136E9,False,0,False,0
2007-02-22,2.69,8.382248E8,False,0,False,0
2007-02-23,2.68,5.178936E8,False,0,False,0
2007-02-26,2.66,6.158488E8,False,0,False,0
2007-02-27,2.53,1.1458132E9,False,0,False,0
2007-02-28,2.55,9.194752E8,False,0,False,0
2007-03-01,2.62,1.4155288E9,False,0,False,0
2007-03-02,2.57,8.600004E8,False,0,False,0
2007-03-05,2.6,8.388996E8,False,0,False,0
2007-03-06,2.65,7.231868E8,False,0,False,0
2007-03-07,2.64,6.262844E8,False,0,False,0
2007-03-08,2.65,5.110112E8,False,0,False,0
2007-03-09,2.65,4.51836E8,False,0,False,0
2007-03-12,2.7,7.294084E8,False,0,False,0
2007-03-13,2.66,8.678908E8,False,0,False,0
2007-03-14,2.71,7.96586E8,False,0,False,0
2007-03-15,2.7,5.594988E8,False,0,False,0
2007-03-16,2.7,5.71704E8,False,0,False,0
2007-03-19,2.74,7.129612E8,False,0,False,0
2007-03-20,2.75,4.889164E8,False,0,False,0
2007-03-21,2.82,6.86896E8,False,0,False,0
2007-03-22,2.83,5.614924E8,False,0,False,0
2007-03-23,2.81,4.50884E8,False,0,False,0
2007-03-26,2.88,8.649872E8,False,0,False,0
2007-03-27,2.87,9.320528E8,False,0,False,0
2007-03-28,2.81,9.423372E8,False,0,False,0
2007-03-29,2.82,7.257236E8,False,0,False,0
2007-03-30,2.8,6.00558E8,False,0,False,0
2007-04-02,2.82,5.019924E8,False,0,False,0
2007-04-03,2.84,5.839344E8,False,0,False,0
2007-04-04,2.84,4.76784E8,False,0,False,0
2007-04-05,2.85,3.55516E8,False,0,False,0
2007-04-09,2.82,4.133416E8,False,0,False,0
2007-04-10,2.84,3.524668E8,False,0,False,0
2007-04-11,2.79,5.490184E8,False,0,False,0
2007-04-12,2.77,6.566756E8,False,0,False,0
2007-04-13,2.72,7.199416E8,False,0,False,0
2007-04-16,2.75,6.090336E8,False,0,False,0
2007-04-17,2.72,7.519204E8,False,0,False,0
2007-04-18,2.72,4.64044E8,False,0,False,0
2007-04-19,2.72,4.259136E8,False,0,False,0
2007-04-20,2.74,5.227796E8,False,0,False,0
2007-04-23,2.81,7.8029E8,False,0,False,0
2007-04-24,2.81,1.0552528E9,False,0,False,0
2007-04-25,2.87,1.187144E9,False,0,False,0
2007-04-26,2.97,1.737778E9,False,0,False,0
2007-04-27,3.01,6.994036E8,False,0,False,0
2007-04-30,3.0,6.165096E8,False,0,False,0
2007-05-01,2.99,5.325236E8,False,0,False,0
2007-05-02,3.02,5.051452E8,False,0,False,0
